;Acurácia;Precisão;Recall;F1;ROC-AUC
Gradient Boosting;0,7647;0,7563;0,8257;0,7895;0,8245
SVM;0,7647;0,7699;0,7982;0,7838;0,8173
Random Forest;0,7451;0,7478;0,789;0,7679;0,8028
Regressão Logística;0,7304;0,7288;0,789;0,7577;0,808
KNN;0,7157;0,7179;0,7706;0,7434;0,7558
Naive Bayes;0,7206;0,7364;0,7431;0,7397;0,7794
Árvore de Decisão;0,6863;0,7027;0,7156;0,7091;0,6841
